id,source,url,sha256,license,attribution,image_class,notes
mb-000001,opencv_extra,https://raw.githubusercontent.com/opencv/opencv_extra/master/testdata/cv/shared/baboon.png,3dbef113d834c8f011c9122b2378af80bf8dfacd70ab47821f3beb923197e87d,Apache-2.0,"OpenCV project (opencv_extra, Apache-2.0)",nonflood,smoke-test row; verifies the fetch pipeline. Not a road scene.
mb-000002,opencv_samples,https://raw.githubusercontent.com/opencv/opencv/master/samples/data/aero1.jpg,d9a69191f6e3642ea361bc3c62e677b2f40fe6534b78da540f4155e0734b59ef,Apache-2.0,"OpenCV project (opencv, Apache-2.0)",nonflood,smoke-test row; verifies the fetch pipeline. Not a road scene.
mb-000003,ultralytics_assets,https://raw.githubusercontent.com/ultralytics/assets/main/im/bus.jpg,c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63,AGPL-3.0,"Ultralytics (ultralytics/assets, AGPL-3.0)",nonflood,smoke-test row; street scene from ultralytics test bundle. AGPL-3.0 restricts downstream redistribution; kept as a reference-only smoke row.
mb-000004,ultralytics_assets,https://raw.githubusercontent.com/ultralytics/assets/main/im/zidane.jpg,16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb,AGPL-3.0,"Ultralytics (ultralytics/assets, AGPL-3.0)",nonflood,smoke-test row. AGPL-3.0. Same caveat as mb-000003.
mb-000005,eu_flood_2013,https://upload.wikimedia.org/wikipedia/commons/1/14/Gy%C5%91r_flood%2C_June_2013_39.JPG,fa90733599d8656c575a916016cac458b02a856af34862c71e690e6d724eddf6,CC-BY-SA-3.0,"Pallerti (Wikimedia Commons, CC BY-SA 3.0). https://commons.wikimedia.org/wiki/File:Gy%C5%91r_flood,_June_2013_39.JPG",flood,"pageid=26583040; title=File:Győr flood, June 2013 39.JPG"
mb-000006,eu_flood_2013,https://upload.wikimedia.org/wikipedia/commons/c/c4/Gy%C5%91r_flood%2C_June_2013_40.JPG,fe9ae8764eac0eaeeba9224e77fbecec6f68c2a3fe74bd46397b7ba7e4174e6a,CC-BY-SA-3.0,"Pallerti (Wikimedia Commons, CC BY-SA 3.0). https://commons.wikimedia.org/wiki/File:Gy%C5%91r_flood,_June_2013_40.JPG",flood,"pageid=26583041; title=File:Győr flood, June 2013 40.JPG"
mb-000007,eu_flood_2013,https://upload.wikimedia.org/wikipedia/commons/5/55/2013_-_rozvodn%C4%9Bn%C3%A1_Vltava_v_Praze_5168.JPG,21d65d61c8e130096e3712e4e7b61fb8695eab02c611796f0f3566859486ec4a,CC-BY-SA-3.0,"Matěj Baťha (Wikimedia Commons, CC BY-SA 3.0). https://commons.wikimedia.org/wiki/File:2013_-_rozvodn%C4%9Bn%C3%A1_Vltava_v_Praze_5168.JPG",flood,pageid=26492930; title=File:2013 - rozvodněná Vltava v Praze 5168.JPG
mb-000008,eu_flood_2013,https://upload.wikimedia.org/wikipedia/commons/b/b4/Gy%C5%91r_flood%2C_June_2013_43.JPG,61834eed58b49880dcda276c51f16c804d82ed948851b3e0306507748038a56c,CC-BY-SA-3.0,"Pallerti (Wikimedia Commons, CC BY-SA 3.0). https://commons.wikimedia.org/wiki/File:Gy%C5%91r_flood,_June_2013_43.JPG",flood,"pageid=26583044; title=File:Győr flood, June 2013 43.JPG"
mb-000009,eu_flood_2013,https://upload.wikimedia.org/wikipedia/commons/8/85/Gy%C5%91r_flood%2C_June_2013_42.JPG,963bcb7b80a3bdd66fa80239f9cf49fbcd1747bd384d99702541628b22b14ccf,CC-BY-SA-3.0,"Pallerti (Wikimedia Commons, CC BY-SA 3.0). https://commons.wikimedia.org/wiki/File:Gy%C5%91r_flood,_June_2013_42.JPG",flood,"pageid=26583045; title=File:Győr flood, June 2013 42.JPG"
mb-000010,eu_flood_2013,https://upload.wikimedia.org/wikipedia/commons/0/0c/Gy%C5%91r_flood%2C_June_2013_41.JPG,6b8d1e902908dab8a4cf455f575b04a34d08d2d362822b8a0200b02e0eb77276,CC-BY-SA-3.0,"Pallerti (Wikimedia Commons, CC BY-SA 3.0). https://commons.wikimedia.org/wiki/File:Gy%C5%91r_flood,_June_2013_41.JPG",flood,"pageid=26583046; title=File:Győr flood, June 2013 41.JPG"
